term,soc,version,aliases,g1,g2,g3,g4,g5,definition,note,page
Blurred vision,Eye disorders,CTCAE v6.0,,Intervention not indicated,Symptomatic; moderate decrease in visual acuity (best corrected visual acuity 20/40 and better or 3 lines or less decreased vision from known baseline); limiting instrumental ADL or mild/moderate impact on age-appropriate normal daily activity (pediatric),"Symptomatic with marked decrease in visual acuity (best corrected visual acuity worse than 20/40 or more than 3 lines of decreased vision from known baseline, up to 20/200); limiting self-care ADL or severe impact on age-appropriate normal daily activity (pediatric)",Best corrected visual acuity of 20/200 or worse in the affected eye,-,A disorder characterized by visual perception of unclear or fuzzy images.,Consider: Eye disorders: Uveitis.,33
Cataract,Eye disorders,CTCAE v6.0,,Asymptomatic; clinical or diagnostic observations only; intervention not indicated,Symptomatic; moderate decrease in visual acuity (best corrected visual acuity 20/40 and better or 3 lines or less decreased vision from known baseline); glare symptoms affecting instrumental ADL or mild/moderate impact on age-appropriate normal daily activity (pediatric),"Symptomatic with marked decrease in visual acuity (best corrected visual acuity worse than 20/40 or more than 3 lines of decreased vision from known baseline, up to 20/200); limiting self-care ADL or severe impact on age-appropriate normal daily activity (pediatric)",Best corrected visual acuity of 20/200 or worse in the affected eye,-,A disorder characterized by partial or complete opacity of the crystalline lens of one or both eyes. This results in a decrease in visual acuity and eventual blindness if untreated.,-,33
Corneal ulcer,Eye disorders,CTCAE v6.0,,-,-,Corneal ulcer without perforation in the affected eye,Perforation in the affected eye,-,A disorder characterized by an area of epithelial tissue loss on the surface of the cornea. It is associated with inflammatory cells in the cornea and anterior chamber.,-,34
Decreased night vision,Eye disorders,CTCAE v6.0,,Symptomatic,Moderate decrease in visual acuity (best corrected visual acuity 20/40 and better or 3 lines or less decreased vision from known baseline); limiting instrumental ADL or mild/moderate impact on age-appropriate normal daily activity (pediatric),"Marked decrease in visual acuity (best corrected visual acuity worse than 20/40 or more than 3 lines of decreased vision from known baseline, up to 20/200); limiting self-care ADL or severe impact on age-appropriate normal daily activity (pediatric)",Best corrected visual acuity of 20/200 or worse in the affected eye,-,A disorder characterized by an inability to see clearly in dim light.,-,34
Dry eye,Eye disorders,CTCAE v6.0,,Clinical or diagnostic observations only; symptoms relieved by lubricants,Symptomatic; moderate decrease in visual acuity (best corrected visual acuity 20/40 and better or 3 lines or less decreased vision from known baseline),"Symptomatic with marked decrease in visual acuity (best corrected visual acuity worse than 20/40 or more than 3 lines of decreased vision from known baseline, up to 20/200); limiting self-care ADL or severe impact on age-appropriate normal daily activity (pediatric)",-,-,A disorder characterized by dryness of the cornea and conjunctiva.,"If corneal ulcer is present, grade under Eye disorders: Corneal ulcer. If related to syndromes not present in CTCAE (ex. Sjogren's syndrome, etc.), report as Other, specify in the most representative SOC.",35
Extraocular muscle paresis,Eye disorders,CTCAE v6.0,,Asymptomatic; clinical or diagnostic observations only,Unilateral paresis without double vision,"Bilateral paresis or unilateral paresis causing double vision in peripheral gaze, but not in central gaze",Bilateral paresis requiring head turning to see beyond central 60 degrees or double vision in central gaze,-,A disorder characterized by incomplete paralysis of an extraocular muscle.,-,35
"Eye disorders - Other, specify",Eye disorders,CTCAE v6.0,,Asymptomatic or mild symptoms; clinical or diagnostic observations only; intervention not indicated; no change in vision,"Moderate; minimal, local or noninvasive intervention indicated; best corrected visual acuity 20/40 and better or 3 lines or less decreased vision from known baseline; limiting instrumental ADL or mild/moderate impact on age-appropriate normal daily activity (pediatric)","Severe or medically significant but not immediately sight- threatening; decrease in visual acuity (best corrected visual acuity worse than 20/40 or more than 3 lines of decreased vision from known baseline, up to 20/200); limiting self-care ADL or severe impact on age-appropriate normal daily activity (pediatric)",Sight-threatening consequences; urgent intervention indicated; best corrected visual acuity of 20/200 or worse in the affected eye,-,-,-,36
Eye pain,Eye disorders,CTCAE v6.0,,Mild pain,Moderate pain; limiting instrumental ADL or mild/moderate impact on age-appropriate normal daily activity (pediatric),Severe pain; limiting self-care ADL or severe impact on age-appropriate normal daily activity (pediatric),-,-,A disorder characterized by a sensation of marked discomfort in the eye.,Record final diagnosis/cause once determined.,36
Eyelid function disorder,Eye disorders,CTCAE v6.0,,Clinical or diagnostic observations only; intervention not indicated,Symptomatic; nonoperative intervention indicated; limiting instrumental ADL or mild/moderate impact on age-appropriate normal daily activity (pediatric),Operative intervention indicated requiring hospitalization; limiting self-care ADL or severe impact on age-appropriate normal daily activity (pediatric),-,-,A disorder characterized by impaired eyelid function.,-,37
Flashing lights,Eye disorders,CTCAE v6.0,,Symptomatic,Limiting instrumental ADL or mild/moderate impact on age-appropriate normal daily activity (pediatric),Limiting self-care ADL or severe impact on age-appropriate normal daily activity (pediatric),-,-,A disorder characterized by a sudden or brief burst of light.,"Consider Eye disorders: Retinal tear, Retinal detachment.",37
Floaters,Eye disorders,CTCAE v6.0,,Symptomatic,Limiting instrumental ADL or mild/moderate impact on age-appropriate normal daily activity (pediatric),Limiting self-care ADL or severe impact on age-appropriate normal daily activity (pediatric),-,-,A disorder characterized by an individual seeing spots before their eyes. The spots are shadows of opaque cell fragments in the vitreous humor or lens.,"Consider Eye disorders: Retinal tear, Retinal detachment.",37
Glaucoma,Eye disorders,CTCAE v6.0,,Less than 8 mmHg of elevated intraocular pressure (EIOP); no visual field deficit,Topical medication indicated,EIOP causing visual field deficits,Visual field deficit within the central 10 degrees of the visual field in the affected eye,-,A disorder characterized by an increase in pressure in the eyeball due to obstruction of the aqueous humor outflow.,-,38
Keratitis,Eye disorders,CTCAE v6.0,,Asymptomatic; clinical or diagnostic observations only; intervention not indicated,Symptomatic; moderate decrease in visual acuity (best corrected visual acuity 20/40 and better or 3 lines or less decreased vision from known baseline),"Symptomatic with marked decrease in visual acuity (best corrected visual acuity worse than 20/40 or more than 3 lines of decreased vision from known baseline, up to 20/200); corneal ulcer; limiting self-care ADL or severe impact on age-appropriate normal daily activity (pediatric)",Perforation; best corrected visual acuity of 20/200 or worse in the affected eye,-,A disorder characterized by inflammation to the cornea of the eye.,Consider Eye disorders: Corneal ulcer.,38
Optic nerve disorder,Eye disorders,CTCAE v6.0,,Asymptomatic; clinical or diagnostic observations only,Moderate decrease in visual acuity (best corrected visual acuity 20/40 and better or 3 lines or less decreased vision from known baseline),"Marked decrease in visual acuity (best corrected visual acuity worse than 20/40 or more than 3 lines of decreased vision from known baseline, up to 20/200)",Best corrected visual acuity of 20/200 or worse in the affected eye,-,A disorder characterized by involvement of the optic nerve (second cranial nerve).,-,39
Papilledema,Eye disorders,CTCAE v6.0,,Asymptomatic; no visual field deficit,Symptomatic; moderate decrease in visual acuity (best corrected visual acuity 20/40 and better or 3 lines or less decreased vision from known baseline),"Symptomatic with marked decrease in visual acuity (best corrected visual acuity worse than 20/40 or more than 3 lines of decreased vision from known baseline, up to 20/200)",Best corrected visual acuity of 20/200 or worse in the affected eye,-,A disorder characterized by swelling around the optic disc.,Record final diagnosis/cause once determined.,39
Periorbital edema,Eye disorders,CTCAE v6.0,,Soft or non-pitting,Indurated or pitting edema; topical intervention indicated,"Edema associated with visual disturbance; increased intraocular pressure, glaucoma or retinal hemorrhage; diuretics indicated; operative intervention indicated",-,-,A disorder characterized by swelling due to an excessive accumulation of fluid around the orbits of the face.,Record final diagnosis/cause once determined.,40
Photophobia,Eye disorders,CTCAE v6.0,,Symptomatic,Limiting instrumental ADL or mild/moderate impact on age-appropriate normal daily activity (pediatric),Limiting self-care ADL or severe impact on age-appropriate normal daily activity (pediatric),-,-,A disorder characterized by fear and avoidance of light.,-,40
Retinal detachment,Eye disorders,CTCAE v6.0,,-,-,Macular sparing rhegmatogenous detachment,Macula-off rhegmatogenous retinal detachment,-,A disorder characterized by the separation of the inner retina layers from the underlying pigment epithelium.,-,40
Retinal tear,Eye disorders,CTCAE v6.0,,No retinal detachment and treatment not indicated,No retinal detachment and treatment indicated,-,-,-,A disorder characterized by a small laceration of the retina. Symptoms include flashes and floaters.,"If retinal detachment is present, grade under Eye disorders: Retinal detachment.",41
